Comment,Designator,Footprint
D,"D_60,D_38,D_56,D_45,D_59,D_47,D_4,D_64,D_22,D_54,D_14,D_31,D_19,D_55,D_33,D_26,D_24,D_29,D_32,D_46,D_40,D_48,D_5,D_53,D_34,D_58,D_61,D_6,D_28,D_1,D_13,D_25,D_7,D_43,D_23,D_50,D_52,D_35,D_36,D_30,D_2,D_49,D_10,D_39,D_27,D_20,D_17,D_57,D_18,D_16,D_11,D_63,D_3,D_41,D_37,D_0,D_44,D_51,D_21,D_62,D_12,D_42,D_15,D_8,D_9",D_SOD-123
100nF,"C14,C16,C11,C1,C8,C15,C12,C7,C17,C13",C_0402_1005Metric
470R,R6,R_0402_1005Metric
1k,"R1,R5,R2",R_0402_1005Metric
22pF,"C5,C4",C_0402_1005Metric
1uF,"C6,C3,C2,C10",C_0402_1005Metric
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm
SRV05-4,U2,SOT-23-6-routable
500mA,F1,Fuse_1206_3216Metric
JST SH 4-pin,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal
4.7uF,C9,C_0402_1005Metric
RP2040,U4,RP2040-QFN-56
XC6206PxxxMR,U3,SOT-23
27R,"R4,R3",R_0603_1608Metric
W25Q128JVS,U1,SOIC-8_5.23x5.23mm_P1.27mm
