Designator,Mid X,Mid Y,Layer,Rotation
C1,90.8,-83.37,bottom,-90
C2,76.5,-64,bottom,90
C3,75.2,-71.8,bottom,180
C4,79.65,-96.3,bottom,315
C5,75,-92.8,bottom,45
C6,80.7,-77.8,bottom,90
C7,84.7,-77,bottom,90
C8,73.35,-89.2,bottom,-90
C9,76.2,-76.895,bottom,90
C10,79.5,-77.2,bottom,90
C11,82.17,-89.23,bottom,225
C12,77.3,-76.900001,bottom,90
C13,87.12,-83.84,bottom,0
C14,82.7,-78.4,bottom,90
C15,83.7,-77.8,bottom,90
C16,74.5,-89.2,bottom,-90
C17,69.83,-80.49,bottom,90
F1,75.3,-59.85,bottom,-90
J1,178.51,-72.94,bottom,-98
R1,66,-80,bottom,180
R2,108.123992,-81.785161,bottom,180
R3,82.7,-74.9,bottom,-90
R4,81.1,-74.9,bottom,-90
R5,75.85,-91.2,bottom,135
R6,61.4,-99.6,bottom,0
SW1,113.660242,-81.839536,bottom,90
U1,94,-79.435,bottom,90
U2,81.8,-67.7,bottom,180
U3,75.2,-68.3,bottom,90
U4,78.75,-83.8,bottom,135
Y1,77.573223,-94.221142,bottom,-45
